ID,SETUP,PUNCH,PIADA,len_setup,len_punch,len_piadas,ratio_setup_punch,setup_limpo,punch_limpo,n_palavras_setup,n_palavras_punch,carac_nao_alfab_setup,carac_nao_alfab_punch,tem_pergunta,tem_dialogo,diversidade_lexical
1,Como deixar alguém curioso?, Eu conto amanhã.,Como deixar alguém curioso? Eu conto amanhã.,27,17,44,1.5,como deixar alguem curioso?,eu conto amanha.,4,3,1,1,True,False,0.8
2,Por que os fantasmas são péssimos para contar mentiras?, Porque são transparentes.,Por que os fantasmas são péssimos para contar mentiras? Porque são transparentes.,55,26,81,2.037037037037037,por que os fantasmas sao pessimos para contar mentiras?,porque sao transparentes.,9,3,1,1,True,False,0.9
3,Por que a plantinha não foi atendida no hospital?, Porque só tinha médico de plantão.,Por que a plantinha não foi atendida no hospital? Porque só tinha médico de plantão.,49,35,84,1.3611111111111112,por que a plantinha nao foi atendida no hospital?,porque so tinha medico de plantao.,9,6,1,1,True,False,0.9
4,"Se você está se sentindo sozinho, abandonado, achando que ninguém liga para você...", Atrase um pagamento.,"Se você está se sentindo sozinho, abandonado, achando que ninguém liga para você... Atrase um pagamento.",83,21,104,3.772727272727273,se voce esta se sentindo sozinho abandonado achando que ninguem liga para voce...,atrase um pagamento.,13,3,3,1,False,False,0.8571428571428571
5,"- Doutor, como eu faço para emagrecer? - Basta a senhora mover a cabeça da esquerda para a direita e da direita para a esquerda. - Quantas vezes, doutor? -", Todas as vezes que lhe oferecerem comida.,"- Doutor, como eu faço para emagrecer? - Basta a senhora mover a cabeça da esquerda para a direita e da direita para a esquerda. - Quantas vezes, doutor? - Todas as vezes que lhe oferecerem comida.",155,42,197,3.604651162790698,- doutor como eu faco para emagrecer? - basta a senhora mover a cabeca da esquerda para a direita e da direita para a esquerda. - quantas vezes doutor? -,todas as vezes que lhe oferecerem comida.,30,7,7,1,True,True,0.6451612903225806
6,"Dois amigos se encontram depois de muitos anos. - Casei, separei e já fizemos a partilha dos bens. - E as crianças? - O juiz decidiu que ficariam com aquele que mais bens recebeu. - Então ficaram com a mãe?"," - Não, ficaram com nosso advogado.","Dois amigos se encontram depois de muitos anos. - Casei, separei e já fizemos a partilha dos bens. - E as crianças? - O juiz decidiu que ficariam com aquele que mais bens recebeu. - Então ficaram com a mãe? - Não, ficaram com nosso advogado.",206,35,241,5.722222222222222,dois amigos se encontram depois de muitos anos. - casei separei e ja fizemos a partilha dos bens. - e as criancas? - o juiz decidiu que ficariam com aquele que mais bens recebeu. - entao ficaram com a mae?,- nao ficaram com nosso advogado.,40,6,9,2,True,True,0.8048780487804879
7,O que a Lua disse ao Sol?," – Nossa, você é tão grande e ainda não te deixam sair à noite!","O que a Lua disse ao Sol? – Nossa, você é tão grande e ainda não te deixam sair à noite!",25,63,88,0.390625,o que a lua disse ao sol?,- nossa voce e tao grande e ainda nao te deixam sair a noite!,7,14,1,2,True,False,0.875
8,Eu perdi peso no mês passado., Mas este mês ele já me encontrou de novo.,Eu perdi peso no mês passado. Mas este mês ele já me encontrou de novo.,29,42,71,0.6744186046511628,eu perdi peso no mes passado.,mas este mes ele ja me encontrou de novo.,6,9,1,1,False,False,0.8571428571428571
9,Sabe qual é a melhor forma de consumir o tempo?, Comer relógios.,Sabe qual é a melhor forma de consumir o tempo? Comer relógios.,47,16,63,2.764705882352941,sabe qual e a melhor forma de consumir o tempo?,comer relogios.,10,2,1,1,True,False,0.9090909090909091
10,Eu saí do meu trabalho. Não conseguiria continuar lá depois do que o meu chefe disse... O que ele disse?, Você está despedido.,Eu saí do meu trabalho. Não conseguiria continuar lá depois do que o meu chefe disse... O que ele disse? Você está despedido.,104,21,125,4.7272727272727275,eu sai do meu trabalho. nao conseguiria continuar la depois do que o meu chefe disse... o que ele disse?,voce esta despedido.,20,3,5,1,True,False,0.7619047619047619
11,"- Dói, né? - O quê?", - Deitar no sofá e lembrar que esqueceu o controle.,"- Dói, né? - O quê? - Deitar no sofá e lembrar que esqueceu o controle.",19,52,71,0.3584905660377358,- doi ne? - o que?,- deitar no sofa e lembrar que esqueceu o controle.,6,10,4,2,True,True,0.7142857142857143
